Carga;Esfuerzo;Def_ Unit;Desplazamiento
0,313;4,412;0;0,062
0,581;8,194;0,012;0,187
0,637;8,982;0,044;0,436
0,759;10,716;0,081;0,81
1,519;21,432;0,106;1,122
2,96;41,76;0,15;1,434
3,965;55,943;0,181;1,745
3,965;68,393;0,206;2,057
4,903;69,181;0,243;2,431
6,042;85,254;0,268;2,742
7,226;101,959;0,299;3,054
8,51;120,081;0,33;3,241
9,571;135,052;0,355;3,553
10,866;153,332;0,38;3,802
12,184;171,927;0,405;4,176
13,569;191,468;0,43;4,363
14,719;207,699;0,461;4,675
15,892;224,246;0,486;4,924
17,154;242,053;0,517;5,173
18,505;261,121;0,536;5,36
18,505;279,401;0,561;5,672
19,857;280,189;0,586;5,859
20,973;295,948;0,611;6,17
22,47;317,065;0,636;6,295
24,034;339,127;0,654;6,544
25,653;361,977;0,679;6,981
26,971;380,572;0,711;7,23
28,378;400,428;0,723;7,417
29,707;419,181;0,754;7,542
30,935;436,516;0,779;7,729
31,94;450,699;0,798;7,978
32,555;459,839;0,829;8,227
32,588;467,245;0,841;8,539
33,147;467,718;0,873;8,726
33,638;474,652;0,891;8,975
34,141;481,743;0,916;9,162
34,554;487,574;0,935;9,349
35;493,877;0,96;9,598
35,436;500,023;0,979;9,91
35,849;505,854;1,003;10,159
36,262;511,685;1,028;10,284
36,586;516,255;1,047;10,533
36,966;521,613;1,066;10,72
37,29;526,183;1,091;10,97
37,29;530,753;1,116;11,157
37,67;531,541;1,147;11,406
37,96;535,638;1,166;11,78
38,284;540,208;1,184;11,904
38,608;544,778;1,209;12,091
38,932;549,348;1,228;12,403
39,222;553,445;1,253;12,528
39,49;557,227;1,271;12,777
39,78;561,324;1,296;13,089
40,048;565,107;1,328;13,151
40,339;569,204;1,34;13,4
40,584;572,671;1,365;13,65
40,819;576,295;1,39;13,899
40,841;579,605;1,409;14,211
41,109;580,077;1,44;14,398
41,344;583,387;1,452;14,522
41,578;586,696;1,477;14,522
41,779;589,533;1,477;14,834
41,992;592,527;1,502;15,083
42,193;595,363;1,521;15,27
42,405;598,357;1,546;15,582
42,55;600,406;1,564;15,706
42,729;602,927;1,589;15,956
42,896;605,291;1,608;16,205
43,075;607,813;1,633;16,392
43,22;609,861;1,652;16,579
43,254;609,861;1,677;16,828
43,254;612,068;1,695;17,015
43,399;612,383;1,72;17,202
43,544;614,431;1,733;17,452
43,689;616,48;1,764;17,639
43,868;619,001;1,789;17,95
43,991;620,735;1,807;18,075
44,136;622,783;1,826;18,262
44,281;624,832;1,851;18,511
44,404;626,565;1,876;18,76
44,549;628,614;1,895;19,01
44,638;629,875;1,913;19,134
44,784;631,923;1,945;19,508
44,873;633,499;1,963;19,633
44,895;633,499;1,982;19,882
44,985;634,76;2,007;20,069
45,108;636,493;2,038;20,381
45,197;637,754;2,057;20,63
45,286;639,015;2,075;20,755
45,398;640,591;2,1;21,004
45,487;641,851;2,113;21,191
45,577;643,112;2,15;21,44
45,632;643,9;2,163;21,627
45,722;645,161;2,188;21,939
45,811;646,421;2,213;22,064
45,867;647,209;2,225;22,313
45,923;647,997;2,25;22,562
45,923;648,943;2,281;22,749
46,012;649,258;2,3;22,999
46,079;650,204;2,325;23,248
46,135;650,992;2,368;23,56
46,168;651,464;2,368;23,684
46,224;652,252;2,393;23,934
46,28;653,04;2,412;24,12
46,336;653,828;2,431;24,37
46,403;654,774;2,456;24,681
46,403;654,774;2,481;24,868
46,459;655,561;2,512;25,055
46,515;656,349;2,53;25,305
46,548;656,822;2,574;25,866
46,571;657,137;2,574;25,803
46,571;657,137;2,599;25,928
46,638;658,083;2,618;26,302
46,66;658,398;2,655;26,614
46,693;658,871;2,661;26,676
46,727;659,344;2,699;26,925
46,749;659,659;2,699;27,112
46,783;660,132;2,742;27,424
46,805;660,447;2,755;27,673
46,839;660,919;2,792;27,86
46,872;661,392;2,811;28,109
46,894;661,707;2,83;28,359
46,894;662,18;2,861;28,67
46,928;662,18;2,88;28,857
46,928;662,18;2,917;29,107
46,961;662,653;2,942;29,356
46,961;662,653;2,954;29,668
46,984;662,968;2,992;29,855
47,017;663,441;2,998;30,042
47,04;663,756;3,029;30,291
47,073;664,229;3,06;30,54
47,073;664,229;3,098;30,976
47,107;664,702;3,098;30,976
47,107;664,702;3,098;31,039
47,107;664,702;3,135;31,35
47,129;665,017;3,179;31,537
47,129;665,017;3,197;31,724
47,162;665,49;3,21;32,098
47,162;665,49;3,222;32,348
47,196;665,49;3,26;32,535
47,196;665,962;3,291;32,909
47,196;665,962;3,303;33,407
47,196;665,962;3,334;33,345
47,218;666,277;3,366;33,594
47,218;666,277;3,391;33,968
47,218;666,277;3,416;34,217
47,218;666,277;3,447;34,529
47,252;666,75;3,472;34,841
47,252;666,75;3,497;34,903
47,252;666,75;3,521;35,215
47,252;666,75;3,553;35,526
47,252;666,75;3,578;35,963
47,252;666,75;3,596;36,087
47,252;666,75;3,634;36,274
47,252;666,75;3,659;36,648
47,252;666,75;3,69;36,835
47,252;666,75;3,708;37,147
47,252;666,75;3,733;37,458
47,252;666,75;3,765;37,645
47,252;666,75;3,789;37,895
47,252;666,75;3,814;38,206
47,252;666,75;3,858;38,518
47,252;666,75;3,87;38,705
47,252;666,75;3,902;39,079
47,252;666,75;3,933;39,391
47,252;666,75;3,976;39,578
47,252;666,75;3,995;39,952
47,252;666,75;4,039;40,388
47,252;666,75;4,051;40,575
47,252;666,75;4,076;40,762
47,252;666,75;4,12;41,073
47,252;666,75;4,157;41,447
47,252;666,75;4,456;44,439
